Country,Regiune,Nume Regiune,TIP,Judet,Niv,Nat Level,Nat Lev Name,Sirsup,Cnt Id,Cnt Name,Cnt Abbr,Rang,Siruta,Denloc,Nume Uat,Codp,FS2,FS3,FSJ,FSL,Fictiv,Area Sqm Uat,Perimeter M Uat,Latitude Uat,Longitude Uat,Pop 1Ian2020,Count of siruta_uat_pop.csv
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,23289,Livezi,Livezi,0,4,,4,4.5143E+11,,58270218.33,49721.19434,46.40545149,26.74427082,5470,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,23350,Luizi-Calugara,Luizi-Călugăra,0,4,,4,4.51449E+11,,31812381.88,35588.79952,46.52275316,26.84020911,5130,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,23387,Magireşti,Măgireşti,0,4,,4,4.51509E+11,,33305552.67,36364.0567,46.51573756,26.5230999,4185,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,23449,Manastirea Caşin,Mănăstirea Caşin,0,4,,4,4.51524E+11,,246957902.4,105489.2695,46.09977005,26.61327604,5416,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,23494,Motoşeni,Motoşeni,0,4,,4,4.51649E+11,,105150127.8,77379.91006,46.32590345,27.41812582,3238,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,23644,Negri,Negri,0,4,,4,4.51796E+11,,39204106.45,36468.50289,46.70289911,26.9949,2773,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,23715,Nicolae Balcescu,Nicolae Bălcescu,0,4,,4,4.51805E+11,,58279924.12,46676.75287,46.4722938,26.88795391,10083,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,23797,Oituz,Oituz,0,4,,4,4.51847E+11,,203722593.9,82685.77074,46.16199082,26.51769226,9243,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,23868,Onceşti,Onceşti,0,4,,4,4.51856E+11,,47762759.11,41083.16191,46.48364892,27.25620867,1606,1
Ro,1,Nord-Est,3,4,2,3Rdorder,Comuna,47,1.47,Bacău,Bc,Iv,23948,Orbeni,Orbeni,0,4,,4,4.52082E+11,,57377791.91,42302.84944,46.27648074,27.00609854,3831,1
